coefficient_name,value,constrain
coef_constant_work,1.31,F
coef_income_below_20k_work,0,F
coef_income_20k_40k_work,0,F
coef_income_40k_60k_work,0,F
coef_income_60k_up_work,0,F
coef_occupation_construction_work,-2.892,F
coef_occupation_finance_work,-0.566,F
coef_occupation_administration_work,-1.683,F
coef_occupation_education_work,-1.426,F
coef_occupation_medical_work,-1.383,F
coef_person_worker_work,0,F
coef_age_below_25_work,0,F
coef_age_55_65_work,0,F
coef_age_65_up_work,-1.155,F
coef_complete_travel_one_day_work,-2.125,F
coef_constant_other,0.144,F
coef_income_below_20k_other,0,F
coef_income_20k_40k_other,0,F
coef_income_40k_60k_other,0,F
coef_income_60k_up_other,0.416,F
coef_occupation_construction_other,0,F
coef_occupation_finance_other,0,F
coef_occupation_administration_other,0,F
coef_occupation_education_other,0,F
coef_occupation_medical_other,0,F
coef_person_worker_other,-0.18,F
coef_age_below_25_other,-0.327,F
coef_age_55_65_other,0.465,F
coef_age_65_up_other,0,F
coef_complete_travel_one_day_other,-1.744,F
coef_constant_household,0.695,F
coef_income_below_20k_household,0,F
coef_income_20k_40k_household,0,F
coef_income_40k_60k_household,0,F
coef_income_60k_up_household,0.21,F
coef_occupation_construction_household,0,F
coef_occupation_finance_household,0,F
coef_occupation_administration_household,0,F
coef_occupation_education_household,0,F
coef_occupation_medical_household,0,F
coef_person_worker_household,0,F
coef_age_below_25_household,0,F
coef_age_55_65_household,0,F
coef_age_65_up_household,0,F
coef_complete_travel_one_day_household,-2.025,F
